Item	Outline	Page_Lines	Text	Tokens	Keywords	Tag	Number_of_Keywords
204	2.	15.53 - 15.54	Definitions. For purposes of this section, the following terms shall be defined as follows: 	definitions, for, purposes, of, this, section, the, following, terms, shall, be, defined, as, follows	definitions, purposes, terms, defined, follows	(§5.) ARTICLE 8-B § 229-a.2.	5
205	(a)	16.1 - 16.3	"""agency"" means the New York state energy research and development authority or any other state department or agency that provides assistance to covered projects. "	agency, means, the, new, york, state, energy, research, and, development, authority, or, any, other, state, department, or, agency, that, provides, assistance, to, covered, projects	agency, new, york, state, energy, research, development, authority, department, assistance, covered, projects	(§5.) ARTICLE 8-B § 229-a.2.(a)	12
206	(b)	16.4 - 16.6	"""best value"" shall be given the meaning specified in paragraph j of subdivision one of section one hundred sixty-three of the state finance law. "	best, value, shall, be, given, the, meaning, specified, in, paragraph, j, of, subdivision, one, of, section, one, hundred, sixty, three, of, the, state, finance, law	value, meaning, specified, paragraph, subdivision, hundred, state, finance, law	(§5.) ARTICLE 8-B § 229-a.2.(b)	9
207	(c)	16.7 - 16.8	"""contracting team"" means the lead contractor and project subcontractors. "	contracting, team, means, the, lead, contractor, and, project, subcontractors	contracting, team, lead, contractor, project, subcontractors	(§5.) ARTICLE 8-B § 229-a.2.(c)	6
208	(d)	16.9 - 16.12	"""covered projects"" means projects designed to provide renewable energy, as defined in paragraph (b) of subdivision one of section sixty-six-p of the public service law, which are eligible to receive energy credits or other forms of assistance from the state. "	covered, projects, means, projects, designed, to, provide, renewable, energy, as, defined, in, paragraph, b, of, subdivision, one, of, section, sixty, six, p, of, the, public, service, law, which, are, eligible, to, receive, energy, credits, or, other, forms, of, assistance, from, the, state	covered, projects, designed, renewable, energy, defined, paragraph, subdivision, public, service, law, eligible, credits, forms, assistance, state	(§5.) ARTICLE 8-B § 229-a.2.(d)	16
209	(e)	16.13 - 16.17	"""offeror"" means the project owner, developer or other entity which seeks to propose a renewable energy project, energy efficiency project, other construction project undertaken with support from the authority, or receiving state assistance and obtain renewable energy credit or other assistance from the state. "	offeror, means, the, project, owner, developer, or, other, entity, which, seeks, to, propose, a, renewable, energy, project, energy, efficiency, project, other, construction, project, undertaken, with, support, from, the, authority, or, receiving, state, assistance, and, obtain, renewable, energy, credit, or, other, assistance, from, the, state	offeror, project, owner, developer, entity, seeks, propose, renewable, energy, efficiency, construction, undertaken, support, authority, receiving, state, assistance, obtain, credit	(§5.) ARTICLE 8-B § 229-a.2.(e)	19
210	(f)	16.18 - 16.20	"""lead contractor"" means the general contractor, construction manager or other prime contractor which is contracted by the offeror to build a covered project. "	lead, contractor, means, the, general, contractor, construction, manager, or, other, prime, contractor, which, is, contracted, by, the, offeror, to, build, a, covered, project	lead, contractor, general, construction, manager, prime, contracted, offeror, build, covered, project	(§5.) ARTICLE 8-B § 229-a.2.(f)	11
211	(g)	16.21 - 16.22	"""project team"" means the lead contractors and all subcontractors proposed for the project. "	project, team, means, the, lead, contractors, and, all, subcontractors, proposed, for, the, project	project, team, lead, contractors, subcontractors, proposed	(§5.) ARTICLE 8-B § 229-a.2.(g)	6
212	3.	16.23 - 16.25	Solicitation requirements for covered projects. Solicitations used to provide state assistance to covered projects shall utilize the following procedures: 	solicitation, requirements, for, covered, projects, solicitations, used, to, provide, state, assistance, to, covered, projects, shall, utilize, the, following, procedures	solicitation, requirements, covered, projects, solicitations, state, assistance, utilize, procedures	(§5.) ARTICLE 8-B § 229-a.3.	9
213	(a)	16.26 - 16.27	solicitations shall be designed to ensure best value results for the state by: 	solicitations, shall, be, designed, to, ensure, best, value, results, for, the, state, by	solicitations, designed, ensure, value, results, state	(§5.) ARTICLE 8-B § 229-a.3.(a)	6
214	(i)	16.28 - 16.29	permitting project proposals for any type of viable renewable energy source; and 	permitting, project, proposals, for, any, type, of, viable, renewable, energy, source, and	permitting, project, proposals, type, viable, renewable, energy, source	(§5.) ARTICLE 8-B § 229-a.3.(a)(i)	8
215	(ii)	16.30 - 16.31	promoting maximum competition among qualified offerors presenting proposals. 	promoting, maximum, competition, among, qualified, offerors, presenting, proposals	promoting, maximum, competition, qualified, offerors, presenting, proposals	(§5.) ARTICLE 8-B § 229-a.3.(a)(ii)	7
216	(b)	16.32 - 16.35	solicitations shall be administered through a public request for proposals process that provides adequate notice, instructions for submitting proposals and other relevant information as determined by the agency. 	solicitations, shall, be, administered, through, a, public, request, for, proposals, process, that, provides, adequate, notice, instructions, for, submitting, proposals, and, other, relevant, information, as, determined, by, the, agency	solicitations, administered, public, request, proposals, process, adequate, notice, instructions, submitting, relevant, information, determined, agency	(§5.) ARTICLE 8-B § 229-a.3.(b)	14
217	(c)	16.36 - 16.37	requests for proposals shall require sealed proposals from an offeror, which include: 	requests, for, proposals, shall, require, sealed, proposals, from, an, offeror, which, include	requests, proposals, require, sealed, offeror	(§5.) ARTICLE 8-B § 229-a.3.(c)	5
218	(i)	16.38 - 16.39	proposed project, including type, viability and projected amount of energy, project plan and schedule. 	proposed, project, including, type, viability, and, projected, amount, of, energy, project, plan, and, schedule	proposed, project, type, viability, projected, amount, energy, plan, schedule	(§5.) ARTICLE 8-B § 229-a.3.(c)(i)	9
219	(ii)	16.40 - 16.41	the qualifications, resources and capabilities of the offeror and, the project team to be used on the project. 	the, qualifications, resources, and, capabilities, of, the, offeror, and, the, project, team, to, be, used, on, the, project	qualifications, resources, capabilities, offeror, project, team	(§5.) ARTICLE 8-B § 229-a.3.(c)(ii)	6
220	(d)	16.42 - 16.44	the agency shall approve the project that provides the best value, considering the viability and benefits of the proposed project and qualifications of the offeror and project team. 	the, agency, shall, approve, the, project, that, provides, the, best, value, considering, the, viability, and, benefits, of, the, proposed, project, and, qualifications, of, the, offeror, and, project, team	agency, approve, project, value, considering, viability, benefits, proposed, qualifications, offeror, team	(§5.) ARTICLE 8-B § 229-a.3.(d)	11
221	4.	16.45 - 16.47	Request for proposals process. Requests for proposals shall be administered in compliance with this section and additional instructions set forth in the solicitation and notice of requests for proposals: 	request, for, proposals, process, requests, for, proposals, shall, be, administered, in, compliance, with, this, section, and, additional, instructions, set, forth, in, the, solicitation, and, notice, of, requests, for, proposals	request, proposals, process, requests, administered, compliance, instructions, forth, solicitation, notice	(§5.) ARTICLE 8-B § 229-a.4.	10
222	(a)	16.48 - 16.51	the agency shall evaluate proposals on the basis of a maximum point scale. The proposal that attains the high score shall be selected for award. Proposals shall be scored only on the basis of the evaluation factors set forth in the request for proposals. 	the, agency, shall, evaluate, proposals, on, the, basis, of, a, maximum, point, scale, the, proposal, that, attains, the, high, score, shall, be, selected, for, award, proposals, shall, be, scored, only, on, the, basis, of, the, evaluation, factors, set, forth, in, the, request, for, proposals	agency, evaluate, proposals, basis, maximum, point, scale, proposal, attains, score, selected, award, scored, evaluation, factors, forth, request	(§5.) ARTICLE 8-B § 229-a.4.(a)	17
223	(b)	16.52 - 16.54	request for proposals shall include only factors listed in this section and any additional factors or subfactors the agency deems necessary for achieving best value results for the state. 	request, for, proposals, shall, include, only, factors, listed, in, this, section, and, any, additional, factors, or, subfactors, the, agency, deems, necessary, for, achieving, best, value, results, for, the, state	request, proposals, factors, subfactors, agency, deems, necessary, achieving, value, results, state	(§5.) ARTICLE 8-B § 229-a.4.(b)	11
224	(c)	17.1 - 17.3	in determining which proposal offers the best value to the state, the agency shall evaluate the following factors in accordance with the following criteria: 	in, determining, which, proposal, offers, the, best, value, to, the, state, the, agency, shall, evaluate, the, following, factors, in, accordance, with, the, following, criteria	determining, proposal, value, state, agency, evaluate, factors, accordance, criteria	(§5.) ARTICLE 8-B § 229-a.4.(c)	9
225	(i)	17.4 - 17.4	proposed project; 	proposed, project	proposed, project	(§5.) ARTICLE 8-B § 229-a.4.(c)(i)	2
226	(ii)	17.5 - 17.5	offeror qualifications; 	offeror, qualifications	offeror, qualifications	(§5.) ARTICLE 8-B § 229-a.4.(c)(ii)	2
227	(iii)	17.6 - 17.6	project team qualifications; 	project, team, qualifications	project, team, qualifications	(§5.) ARTICLE 8-B § 229-a.4.(c)(iii)	3
228	(iv)	17.7 - 17.7	economically disadvantaged impact. 	economically, disadvantaged, impact	economically, disadvantaged, impact	(§5.) ARTICLE 8-B § 229-a.4.(c)(iv)	3
229	5.	17.8 - 17.10	Project selection. The offeror that complies with the specifications and requirements of the request for proposals and receives the highest maximum score shall be selected by the agency for project award. 	project, selection, the, offeror, that, complies, with, the, specifications, and, requirements, of, the, request, for, proposals, and, receives, the, highest, maximum, score, shall, be, selected, by, the, agency, for, project, award	project, selection, offeror, complies, specifications, requirements, request, proposals, receives, highest, maximum, score, selected, agency, award	(§5.) ARTICLE 8-B § 229-a.5.	15
230	6.	17.11 - 17.13	Evaluation of proposed project. In evaluating competitive proposals, the agency shall evaluate the proposed project on the following factors: 	evaluation, of, proposed, project, in, evaluating, competitive, proposals, the, agency, shall, evaluate, the, proposed, project, on, the, following, factors	evaluation, proposed, project, evaluating, competitive, proposals, agency, evaluate, factors	(§5.) ARTICLE 8-B § 229-a.6.	9
231	(a)	17.14 - 17.14	projected amount of energy to be generated; 	projected, amount, of, energy, to, be, generated	projected, amount, energy, generated	(§5.) ARTICLE 8-B § 229-a.6.(a)	4
232	(b)	17.15 - 17.15	viability of the proposed energy source; 	viability, of, the, proposed, energy, source	viability, proposed, energy, source	(§5.) ARTICLE 8-B § 229-a.6.(b)	4
233	(c)	17.16 - 17.16	feasibility of the project plan and schedule; 	feasibility, of, the, project, plan, and, schedule	feasibility, project, plan, schedule	(§5.) ARTICLE 8-B § 229-a.6.(c)	4
234	(d)	17.17 - 17.17	qualifications of the project team. 	qualifications, of, the, project, team	qualifications, project, team	(§5.) ARTICLE 8-B § 229-a.6.(d)	3
235	7.	17.18 - 17.22	Evaluation of offeror's qualifications. The offeror's qualifications shall be determined by an evaluation of its past performance record, expertise and technical qualifications and present performance capabilities, including financial resources and experience of the offeror's senior management and project team management. 	evaluation, of, offeror's, qualifications, the, offeror's, qualifications, shall, be, determined, by, an, evaluation, of, its, past, performance, record, expertise, and, technical, qualifications, and, present, performance, capabilities, including, financial, resources, and, experience, of, the, offeror's, senior, management, and, project, team, management	evaluation, offeror's, qualifications, determined, performance, record, expertise, technical, capabilities, financial, resources, experience, senior, management, project, team	(§5.) ARTICLE 8-B § 229-a.7.	16
236	8.	17.23 - 17.25	Evaluation of project team qualifications. The qualifications of the lead contractor and subcontractors shall be determined by an evaluation of the following subfactors: 	evaluation, of, project, team, qualifications, the, qualifications, of, the, lead, contractor, and, subcontractors, shall, be, determined, by, an, evaluation, of, the, following, subfactors	evaluation, project, team, qualifications, lead, contractor, subcontractors, determined, subfactors	(§5.) ARTICLE 8-B § 229-a.8.	9
237	(a)	17.26 - 17.29	past performance record: 30 points. Evaluation of this subfactor requires a review of past projects, including budget, schedule and safety data, performance evaluation reports, quality of workmanship and compliance with project specifications. 	past, performance, record, 30, points, evaluation, of, this, subfactor, requires, a, review, of, past, projects, including, budget, schedule, and, safety, data, performance, evaluation, reports, quality, of, workmanship, and, compliance, with, project, specifications	performance, record, evaluation, subfactor, requires, review, projects, budget, schedule, safety, data, reports, quality, workmanship, compliance, project, specifications	(§5.) ARTICLE 8-B § 229-a.8.(a)	17
238	(b)	17.30 - 17.33	expertise and technical qualifications: 10 points. Evaluation of this subfactor requires examination of the general and specific experience in relevant market sectors and in projects similar to the proposed project. 	expertise, and, technical, qualifications, 10, points, evaluation, of, this, subfactor, requires, examination, of, the, general, and, specific, experience, in, relevant, market, sectors, and, in, projects, similar, to, the, proposed, project	expertise, technical, qualifications, evaluation, subfactor, requires, examination, general, experience, relevant, market, sectors, projects, proposed, project	(§5.) ARTICLE 8-B § 229-a.8.(b)	15
239	(c)	17.34 - 17.35	performance capabilities of management: 10 points. Evaluation of this subfactor requires examination of: 	performance, capabilities, of, management, 10, points, evaluation, of, this, subfactor, requires, examination, of	performance, capabilities, management, evaluation, subfactor, requires, examination	(§5.) ARTICLE 8-B § 229-a.8.(c)	7
240	(i)	17.36 - 17.36	resources, including equipment and financial resources; 	resources, including, equipment, and, financial, resources	resources, equipment, financial	(§5.) ARTICLE 8-B § 229-a.8.(c)(i)	3
241	(ii)	17.37 - 17.38	experience of the senior management and project management of the lead contractor and subcontractors; and 	experience, of, the, senior, management, and, project, management, of, the, lead, contractor, and, subcontractors, and	experience, senior, management, project, lead, contractor, subcontractors	(§5.) ARTICLE 8-B § 229-a.8.(c)(ii)	7
242	(d)	17.39 - 17.40	performance capabilities of craft labor: 40 points. Evaluation of craft labor personnel shall consider the use of: 	performance, capabilities, of, craft, labor, 40, points, evaluation, of, craft, labor, personnel, shall, consider, the, use, of	performance, capabilities, craft, labor, evaluation, personnel, consider	(§5.) ARTICLE 8-B § 229-a.8.(d)	7
243	(i)	17.41 - 17.43	project labor agreements as a reliable source for ensuring an adequate supply of skilled craft labor in all trades needed for the proposed project; 	project, labor, agreements, as, a, reliable, source, for, ensuring, an, adequate, supply, of, skilled, craft, labor, in, all, trades, needed, for, the, proposed, project	project, labor, agreements, reliable, source, ensuring, adequate, supply, skilled, craft, trades, needed, proposed	(§5.) ARTICLE 8-B § 229-a.8.(d)(i)	13
244	(ii)	17.44 - 17.46	participation in registered apprenticeship programs that have a track record of graduating apprentices for at least three years and journeyperson; 	participation, in, registered, apprenticeship, programs, that, have, a, track, record, of, graduating, apprentices, for, at, least, three, years, and, journeyperson	participation, registered, apprenticeship, programs, track, record, graduating, apprentices, years, journeyperson	(§5.) ARTICLE 8-B § 229-a.8.(d)(ii)	10
245	(iii)	17.47 - 17.48	training programs used to provide training for up-grading skills or training for specialized skills; and 	training, programs, used, to, provide, training, for, up, grading, skills, or, training, for, specialized, skills, and	training, programs, grading, skills, specialized	(§5.) ARTICLE 8-B § 229-a.8.(d)(iii)	5
246	(iv)	17.49 - 17.50	training programs that provide safety training and certification, including, but not limited to OSHA 10 hour and 30 hour programs. 	training, programs, that, provide, safety, training, and, certification, including, but, not, limited, to, osha, 10, hour, and, 30, hour, programs	training, programs, safety, certification, limited, osha, hour	(§5.) ARTICLE 8-B § 229-a.8.(d)(iv)	7
247	9.	17.51 - 17.55	Prelisting of subcontractors. The lead contractor shall provide a list in its proposals that identifies the names of all subcontractors, regardless of tier, it proposes to use for the project and the scope of work and approximate percentage of the total project of each subcontractor listed. 	prelisting, of, subcontractors, the, lead, contractor, shall, provide, a, list, in, its, proposals, that, identifies, the, names, of, all, subcontractors, regardless, of, tier, it, proposes, to, use, for, the, project, and, the, scope, of, work, and, approximate, percentage, of, the, total, project, of, each, subcontractor, listed	prelisting, subcontractors, lead, contractor, proposals, identifies, names, regardless, tier, proposes, project, scope, work, approximate, percentage, total, subcontractor	(§5.) ARTICLE 8-B § 229-a.9.	17
248	10.	18.1 - 18.5	Prequalification process. Requests for proposals may be preceded by a prequalification stage to require interested offerors to demonstrate that they have adequate minimum qualifications and sufficiently viable project proposals to qualify to compete in a request for proposals process. 	prequalification, process, requests, for, proposals, may, be, preceded, by, a, prequalification, stage, to, require, interested, offerors, to, demonstrate, that, they, have, adequate, minimum, qualifications, and, sufficiently, viable, project, proposals, to, qualify, to, compete, in, a, request, for, proposals, process	prequalification, process, requests, proposals, may, preceded, stage, require, interested, offerors, demonstrate, adequate, minimum, qualifications, sufficiently, viable, project, qualify, compete, request	(§5.) ARTICLE 8-B § 229-a.10.	20
249	11.	18.6 - 18.9	Evaluation of economically disadvantaged impact. Evaluation of this factor shall include an assessment of the degree to which the project promotes opportunities to small, minority-owned businesses and workers in economically disadvantaged communities. 	evaluation, of, economically, disadvantaged, impact, evaluation, of, this, factor, shall, include, an, assessment, of, the, degree, to, which, the, project, promotes, opportunities, to, small, minority, owned, businesses, and, workers, in, economically, disadvantaged, communities	evaluation, economically, disadvantaged, impact, factor, assessment, degree, project, promotes, opportunities, minority, owned, businesses, workers, communities	(§5.) ARTICLE 8-B § 229-a.11.	15
250	12.	18.10 - 18.13	Project evaluation team. Proposals submitted in response to request for proposals under this section shall be evaluated by a technical evaluation team that consists of no fewer than three persons qualified to conduct such evaluations. 	project, evaluation, team, proposals, submitted, in, response, to, request, for, proposals, under, this, section, shall, be, evaluated, by, a, technical, evaluation, team, that, consists, of, no, fewer, than, three, persons, qualified, to, conduct, such, evaluations	project, evaluation, team, proposals, submitted, response, request, evaluated, technical, consists, fewer, persons, qualified, conduct, evaluations	(§5.) ARTICLE 8-B § 229-a.12.	15
251	13.	18.14 - 18.18	Audits of evaluation process. Proposal evaluations pursuant to this section shall be subject to periodic audits, including random, unannounced audits by qualified personnel appointed by the agency to ensure the evaluation process is conducted in accordance with this section and the requests for proposals. 	audits, of, evaluation, process, proposal, evaluations, pursuant, to, this, section, shall, be, subject, to, periodic, audits, including, random, unannounced, audits, by, qualified, personnel, appointed, by, the, agency, to, ensure, the, evaluation, process, is, conducted, in, accordance, with, this, section, and, the, requests, for, proposals	audits, evaluation, process, proposal, evaluations, pursuant, subject, periodic, random, unannounced, qualified, personnel, appointed, agency, ensure, conducted, accordance, requests, proposals	(§5.) ARTICLE 8-B § 229-a.13.	19
252	14.	18.19 - 18.22	Project performance evaluations. Project evaluation reports shall be prepared upon completion for projects that receive state assistance. Project evaluation reports shall include information determined relevant by the agency but shall at a minimum include the following: 	project, performance, evaluations, project, evaluation, reports, shall, be, prepared, upon, completion, for, projects, that, receive, state, assistance, project, evaluation, reports, shall, include, information, determined, relevant, by, the, agency, but, shall, at, a, minimum, include, the, following	project, performance, evaluations, evaluation, reports, prepared, completion, projects, state, assistance, information, determined, relevant, agency, minimum	(§5.) ARTICLE 8-B § 229-a.14.	15
253	(a)	18.23 - 18.24	the amount of energy projected in the project proposal and the actual amount of energy the facility is capable of producing; 	the, amount, of, energy, projected, in, the, project, proposal, and, the, actual, amount, of, energy, the, facility, is, capable, of, producing	amount, energy, projected, project, proposal, actual, facility, capable, producing	(§5.) ARTICLE 8-B § 229-a.14.(a)	9
254	(b)	18.25 - 18.26	the proposed project completion date and the actual completion date; and 	the, proposed, project, completion, date, and, the, actual, completion, date, and	proposed, project, completion, actual	(§5.) ARTICLE 8-B § 229-a.14.(b)	4
255	(c)	18.27 - 18.27	additional information as determined by the agency. 	additional, information, as, determined, by, the, agency	information, determined, agency	(§5.) ARTICLE 8-B § 229-a.14.(c)	3
256	§ 229-b.	18.28 - 18.28	Best value requirements for all work other than construction. 	best, value, requirements, for, all, work, other, than, construction	value, requirements, work, construction	(§5.) ARTICLE 8-B § 229-b.	4
257	1.	18.29 - 18.37	Purpose. This section establishes best value requirements for the solicitation, evaluation and award of renewable energy and other projects assisted by the state, including those assisted by the Act. All investments under this section shall utilize the following best value framework to evaluate bids for projects developed with these funds. The best value framework shall provide specially-defined best value contracting and labor provisions as options for any bidder responding to requests for proposals for renewable energy projects. Bids that include responsive provisions can receive added credit to their bid scores. 	purpose, this, section, establishes, best, value, requirements, for, the, solicitation, evaluation, and, award, of, renewable, energy, and, other, projects, assisted, by, the, state, including, those, assisted, by, the, act, all, investments, under, this, section, shall, utilize, the, following, best, value, framework, to, evaluate, bids, for, projects, developed, with, these, funds, the, best, value, framework, shall, provide, specially, defined, best, value, contracting, and, labor, provisions, as, options, for, any, bidder, responding, to, requests, for, proposals, for, renewable, energy, projects, bids, that, include, responsive, provisions, can, receive, added, credit, to, their, bid, scores	purpose, establishes, value, requirements, solicitation, evaluation, award, renewable, energy, projects, assisted, state, act, investments, utilize, framework, evaluate, bids, developed, funds, specially, defined, contracting, labor, provisions, options, bidder, responding, requests, proposals, responsive, credit, bid, scores	(§5.) ARTICLE 8-B § 229-b.1.	34
258	2.	18.38 - 18.39	Definitions. For purposes of this section, the following terms shall be defined as follows: 	definitions, for, purposes, of, this, section, the, following, terms, shall, be, defined, as, follows	definitions, purposes, terms, defined, follows	(§5.) ARTICLE 8-B § 229-b.2.	5
259	(a)	18.40 - 18.43	"""awarding authority"" shall mean the governmental unit empowered to request bids and enter into contracts for renewable energy projects, energy efficiency, and other projects other then the construction aspect of the project funded by this statute. "	awarding, authority, shall, mean, the, governmental, unit, empowered, to, request, bids, and, enter, into, contracts, for, renewable, energy, projects, energy, efficiency, and, other, projects, other, then, the, construction, aspect, of, the, project, funded, by, this, statute	awarding, authority, mean, governmental, unit, empowered, request, bids, contracts, renewable, energy, projects, efficiency, construction, aspect, project, funded, statute	(§5.) ARTICLE 8-B § 229-b.2.(a)	18
260	(b)	18.44 - 18.49	"""best-value framework"" shall mean contracts and subcontracts on projects funded by the Act shall use a best-value framework to consider the quality, cost and efficiency of offers when evaluating procurement contract proposals. Such framework shall reflect, whenever possible, objective and quantifiable analysis and identify a quantitative factor for offerors. "	best, value, framework, shall, mean, contracts, and, subcontracts, on, projects, funded, by, the, act, shall, use, a, best, value, framework, to, consider, the, quality, cost, and, efficiency, of, offers, when, evaluating, procurement, contract, proposals, such, framework, shall, reflect, whenever, possible, objective, and, quantifiable, analysis, and, identify, a, quantitative, factor, for, offerors	value, framework, mean, contracts, subcontracts, projects, funded, act, consider, quality, cost, efficiency, evaluating, procurement, contract, proposals, reflect, whenever, possible, objective, quantifiable, analysis, identify, quantitative, factor, offerors	(§5.) ARTICLE 8-B § 229-b.2.(b)	26
261	(c)	18.50 - 18.52	"""contract"" shall mean a direct agreement between a vendor and the awarding authority for projects funded by the Act valued at five million dollars and over. "	contract, shall, mean, a, direct, agreement, between, a, vendor, and, the, awarding, authority, for, projects, funded, by, the, act, valued, at, five, million, dollars, and, over	contract, mean, direct, agreement, vendor, awarding, authority, projects, funded, act, valued, million, dollars	(§5.) ARTICLE 8-B § 229-b.2.(c)	13
262	(d)	18.53 - 18.55	"""vendor"" shall mean a business entity entering into a contract with the awarding authority for projects, including manufacturing projects, funded by the Act. "	vendor, shall, mean, a, business, entity, entering, into, a, contract, with, the, awarding, authority, for, projects, including, manufacturing, projects, funded, by, the, act	vendor, mean, business, entity, entering, contract, awarding, authority, projects, manufacturing, funded, act	(§5.) ARTICLE 8-B § 229-b.2.(d)	12
263	(e)	19.1 - 19.3	"""subcontract"" shall mean an agreement between a vendor and subvendor to provide manufactured materials or perform additional work under the vendor. "	subcontract, shall, mean, an, agreement, between, a, vendor, and, subvendor, to, provide, manufactured, materials, or, perform, additional, work, under, the, vendor	subcontract, mean, agreement, vendor, subvendor, manufactured, materials, perform, work	(§5.) ARTICLE 8-B § 229-b.2.(e)	9
264	(f)	19.4 - 19.6	"""subvendor"" shall mean a business entity entering into a subcontract with the vendor to provide manufactured materials for completion of a contract or perform additional work under the vendor. "	subvendor, shall, mean, a, business, entity, entering, into, a, subcontract, with, the, vendor, to, provide, manufactured, materials, for, completion, of, a, contract, or, perform, additional, work, under, the, vendor	subvendor, mean, business, entity, entering, subcontract, vendor, manufactured, materials, completion, contract, perform, work	(§5.) ARTICLE 8-B § 229-b.2.(f)	13
265	(g)	19.7 - 19.16	"""U.S. employment plan"" (USEP) shall mean the plan which an entity submitting proposals to awarding authorities for renewable energy projects, energy efficiency, other projects other than the construction aspect of the project include in their proposal to receive extra credit and/or points as defined by the applicable awarding authority. If a proposer chooses to submit a U.S. employment plan to win extra credit, the proposal shall include a worksheet with: proposed wages, benefits, retraining and training, including a workforce training plan, completed by the proposer and the potential subvendors, and a narrative description of the proposers' plan to: "	u.s, employment, plan, usep, shall, mean, the, plan, which, an, entity, submitting, proposals, to, awarding, authorities, for, renewable, energy, projects, energy, efficiency, other, projects, other, than, the, construction, aspect, of, the, project, include, in, their, proposal, to, receive, extra, credit, and, or, points, as, defined, by, the, applicable, awarding, authority, if, a, proposer, chooses, to, submit, a, u.s, employment, plan, to, win, extra, credit, the, proposal, shall, include, a, worksheet, with, proposed, wages, benefits, retraining, and, training, including, a, workforce, training, plan, completed, by, the, proposer, and, the, potential, subvendors, and, a, narrative, description, of, the, proposers, plan, to	u.s, employment, plan, usep, mean, entity, submitting, proposals, awarding, authorities, renewable, energy, projects, efficiency, construction, aspect, project, proposal, extra, credit, defined, applicable, authority, proposer, chooses, submit, win, worksheet, proposed, wages, benefits, retraining, training, workforce, completed, potential, subvendors, narrative, description, proposers	(§5.) ARTICLE 8-B § 229-b.2.(g)	40
266	(i)	19.17 - 19.18	recruit and hire individuals from zip codes with high rates of poverty unemployment, and chronic unemployment; 	recruit, and, hire, individuals, from, zip, codes, with, high, rates, of, poverty, unemployment, and, chronic, unemployment	recruit, hire, individuals, zip, codes, rates, poverty, unemployment, chronic	(§5.) ARTICLE 8-B § 229-b.2.(g)(i)	9
267	(ii)	19.19 - 19.24	give priority in any hiring of employees not currently or previously employed by the proposer and the suppliers of manufactured materials for the project to individuals with barriers to employment including people who have been incarcerated, people with disabilities, and people who have been traditionally underrepresented in manufacturing or construction employment, like women and minorities; and 	give, priority, in, any, hiring, of, employees, not, currently, or, previously, employed, by, the, proposer, and, the, suppliers, of, manufactured, materials, for, the, project, to, individuals, with, barriers, to, employment, including, people, who, have, been, incarcerated, people, with, disabilities, and, people, who, have, been, traditionally, underrepresented, in, manufacturing, or, construction, employment, like, women, and, minorities, and	priority, hiring, employees, previously, employed, proposer, suppliers, manufactured, materials, project, individuals, barriers, employment, incarcerated, disabilities, traditionally, underrepresented, manufacturing, construction, women, minorities	(§5.) ARTICLE 8-B § 229-b.2.(g)(ii)	21
268	(iii)	19.25 - 19.26	"recruit from ""disadvantaged workers"" and ""disadvantaged communities"" as defined by the Act and not detailed in this section. "	recruit, from, disadvantaged, workers, and, disadvantaged, communities, as, defined, by, the, act, and, not, detailed, in, this, section	recruit, disadvantaged, workers, communities, defined, act, detailed	(§5.) ARTICLE 8-B § 229-b.2.(g)(iii)	7
269	(h)	19.27 - 19.35	"""local employment plan"" shall mean the plan which an entity submitting proposals to awarding authorities for renewable energy projects, energy efficiency, other projects other than the construction aspect of the project include in their proposal to receive extra credit and/or points as defined by the applicable awarding authority. The local employment plan will apply to work that is not financed with federal money. A proposer is required to submit a local employment plan to win extra credit. The proposer shall include the same items in the U.S. employment plan as well as a plan: "	local, employment, plan, shall, mean, the, plan, which, an, entity, submitting, proposals, to, awarding, authorities, for, renewable, energy, projects, energy, efficiency, other, projects, other, than, the, construction, aspect, of, the, project, include, in, their, proposal, to, receive, extra, credit, and, or, points, as, defined, by, the, applicable, awarding, authority, the, local, employment, plan, will, apply, to, work, that, is, not, financed, with, federal, money, a, proposer, is, required, to, submit, a, local, employment, plan, to, win, extra, credit, the, proposer, shall, include, the, same, items, in, the, u.s, employment, plan, as, well, as, a, plan	local, employment, plan, mean, entity, submitting, proposals, awarding, authorities, renewable, energy, projects, efficiency, construction, aspect, project, proposal, extra, credit, defined, applicable, authority, apply, work, financed, federal, money, proposer, required, submit, win, u.s	(§5.) ARTICLE 8-B § 229-b.2.(h)	32
270	(i)	19.36 - 19.36	to retain and create high-skilled local jobs; and 	to, retain, and, create, high, skilled, local, jobs, and	retain, skilled, local, jobs	(§5.) ARTICLE 8-B § 229-b.2.(i)	4
271	(ii)	19.37 - 19.39	to develop family-sustaining career pathways into the sector for disadvantaged workers and disadvantaged communities in a specified local area. 	to, develop, family, sustaining, career, pathways, into, the, sector, for, disadvantaged, workers, and, disadvantaged, communities, in, a, specified, local, area	develop, family, sustaining, career, pathways, sector, disadvantaged, workers, communities, specified, local, area	(§5.) ARTICLE 8-B § 229-b.2.(i)(ii)	12
272	(i)	19.40 - 19.42	"""workforce training plan"" means a plan to create permanent, transferable skills for all new hires and retained employees under a contract proposal, which may: "	workforce, training, plan, means, a, plan, to, create, permanent, transferable, skills, for, all, new, hires, and, retained, employees, under, a, contract, proposal, which, may	workforce, training, plan, permanent, transferable, skills, new, hires, retained, employees, contract, proposal, may	(§5.) ARTICLE 8-B § 229-b.2.(i)(i)	13
